Re Im
1917.0 -198.0
1868.0 -149.0
1303.0 -112.0
546.0 150.0
-22.0 484.0
-226.0 367.0
-99.0 -281.0
172.0 -583.0
551.0 -17.0
927.0 1007.0
1206.0 1271.0
1154.0 392.0
788.0 -490.0
439.0 -182.0
396.0 888.0
461.0 1262.0
171.0 328.0
-349.0 -952.0
-310.0 -1195.0
713.0 -123.0
1692.0 1275.0
1264.0 1881.0
-577.0 1459.0
-1782.0 494.0
-891.0 -277.0
1000.0 -475.0
1653.0 30.0
403.0 880.0
-939.0 1407.0
-766.0 1024.0
254.0 -206.0
309.0 -1182.0
-504.0 -969.0
-472.0 280.0
1003.0 1252.0
2047.0 973.0
1574.0 -218.0
-488.0 -1074.0
-1574.0 -774.0
-868.0 -58.0
152.0 45.0
170.0 -458.0
-391.0 -621.0
-302.0 179.0
454.0 1039.0
602.0 749.0
-381.0 -516.0
-1416.0 -1335.0
-1196.0 -1028.0
69.0 -112.0
1084.0 413.0
995.0 411.0
374.0 420.0
20.0 637.0
35.0 771.0
-208.0 689.0
-895.0 590.0
-1365.0 455.0
-944.0 30.0
1.0 -431.0
381.0 -263.0
-194.0 486.0
-858.0 834.0
-489.0 153.0
590.0 -715.0
1046.0 -456.0
266.0 787.0
-661.0 1436.0
-644.0 741.0
-73.0 -267.0
-45.0 -184.0
-683.0 689.0
-696.0 900.0
630.0 169.0
1888.0 -524.0
1439.0 -296.0
-351.0 481.0
-1314.0 930.0
-459.0 948.0
833.0 811.0
830.0 510.0
-227.0 17.0
-671.0 -237.0
-74.0 270.0
631.0 871.0
817.0 573.0
952.0 -945.0
1345.0 -1787.0
1423.0 -1740.0
619.0 -685.0
-362.0 101.0
-400.0 0.0
312.0 -4.0
702.0 151.0
317.0 75.0
-138.0 -522.0
50.0 -654.0
367.0 229.0
86.0 1320.0
-341.0 1365.0
-80.0 472.0
679.0 -148.0
744.0 62.0
-179.0 327.0
-987.0 -126.0
-695.0 -858.0
173.0 -857.0
456.0 -133.0
-87.0 446.0
-555.0 445.0
-430.0 217.0
-67.0 176.0
8.0 297.0
-116.0 228.0
-30.0 -49.0
249.0 -149.0
557.0 181.0
839.0 663.0
1265.0 1065.0
1683.0 1126.0
1781.0 877.0
1491.0 543.0
1036.0 411.0
785.0 507.0
747.0 526.0
795.0 225.0
600.0 -139.0
-21.0 -123.0
-789.0 359.0
-1242.0 860.0
-977.0 965.0
-224.0 940.0
417.0 1056.0
487.0 1091.0
361.0 686.0
567.0 -114.0
969.0 -751.0
953.0 -816.0
290.0 -490.0
-415.0 -306.0
-481.0 -389.0
-11.0 -552.0
268.0 -602.0
-5.0 -524.0
-483.0 -502.0
-697.0 -589.0
-611.0 -689.0
-470.0 -463.0
-345.0 156.0
-138.0 831.0
221.0 910.0
413.0 212.0
200.0 -639.0
-182.0 -710.0
-258.0 79.0
213.0 689.0
879.0 354.0
1056.0 -465.0
526.0 -603.0
-163.0 245.0
-294.0 1225.0
226.0 1267.0
781.0 374.0
956.0 -441.0
642.0 -421.0
123.0 272.0
-386.0 728.0
-673.0 503.0
-498.0 -53.0
141.0 -183.0
617.0 498.0
387.0 1665.0
-190.0 2047.0
-382.0 2047.0
-6.0 1561.0
304.0 428.0
-73.0 -349.0
-580.0 -883.0
-419.0 -889.0
322.0 -393.0
756.0 486.0
290.0 1220.0
-421.0 1321.0
-747.0 636.0
-684.0 -399.0
-711.0 -1155.0
-731.0 -1089.0
-338.0 -344.0
263.0 352.0
445.0 219.0
99.0 -585.0
-10.0 -824.0
466.0 83.0
983.0 1237.0
909.0 1194.0
492.0 -201.0
516.0 -1466.0
978.0 -1198.0
1054.0 165.0
346.0 1000.0
-258.0 719.0
147.0 155.0
1232.0 265.0
1848.0 820.0
1363.0 1041.0
438.0 831.0
-12.0 484.0
192.0 274.0
408.0 -19.0
109.0 -328.0
-637.0 -362.0
-1306.0 -21.0
-1400.0 315.0
-931.0 406.0
-474.0 506.0
-515.0 854.0
-944.0 1113.0
-1062.0 810.0
-486.0 223.0
247.0 48.0
485.0 509.0
136.0 1036.0
-131.0 924.0
128.0 336.0
585.0 -33.0
925.0 265.0
1006.0 902.0
892.0 1104.0
375.0 556.0
-470.0 -251.0
-1101.0 -405.0
-1040.0 306.0
-439.0 983.0
-55.0 490.0
-133.0 -991.0
-276.0 -1860.0
-93.0 -1436.0
129.0 124.0
-76.0 817.0
-437.0 274.0
-373.0 -469.0
288.0 -570.0
1014.0 -324.0
1395.0 -414.0
1176.0 -700.0
428.0 -446.0
-820.0 90.0
-1809.0 59.0
-2045.0 -646.0
-1311.0 -910.0
-212.0 67.0
196.0 1563.0
39.0 2047.0
-134.0 1562.0
54.0 300.0
79.0 -721.0
-365.0 -1063.0
-947.0 -507.0
-964.0 781.0
-387.0 1814.0
335.0 1460.0
719.0 -62.0
790.0 -1042.0
677.0 -424.0
506.0 740.0
236.0 800.0
-28.0 -247.0
-105.0 -949.0
20.0 -660.0
297.0 -508.0
480.0 -1310.0
222.0 -1845.0
-503.0 -1542.0
-1122.0 35.0
-1070.0 697.0
-173.0 -105.0
858.0 -898.0
1319.0 -479.0
1113.0 462.0
693.0 501.0
351.0 -257.0
-19.0 -581.0
-297.0 -191.0
-420.0 141.0
-442.0 -160.0
-556.0 -330.0
-683.0 280.0
-322.0 915.0
442.0 507.0
756.0 -661.0
153.0 -1173.0
-460.0 -463.0
-13.0 422.0
1182.0 292.0
1621.0 -718.0
744.0 -1300.0
-242.0 -839.0
-61.0 151.0
729.0 889.0
743.0 1131.0
-220.0 759.0
-738.0 -61.0
50.0 -1347.0
1023.0 -1773.0
785.0 -1801.0
-436.0 -670.0
-1080.0 889.0
-396.0 1509.0
603.0 1377.0
691.0 704.0
46.0 109.0
-374.0 -252.0
-117.0 -248.0
357.0 76.0
494.0 552.0
239.0 725.0
-206.0 291.0
-344.0 -524.0
64.0 -1166.0
720.0 -1244.0
970.0 -868.0
429.0 -499.0
-397.0 -345.0
-658.0 -257.0
-171.0 -144.0
401.0 -190.0
492.0 -558.0
343.0 -848.0
319.0 -492.0
247.0 383.0
-304.0 892.0
-915.0 550.0
-754.0 -250.0
151.0 -542.0
679.0 -159.0
178.0 162.0
-504.0 -264.0
-383.0 -1126.0
279.0 -1599.0
320.0 -1332.0
-327.0 -630.0
-540.0 -148.0
244.0 -97.0
1189.0 -389.0
1125.0 -688.0
69.0 -643.0
-820.0 -204.0
-1060.0 295.0
-1019.0 360.0
-978.0 -250.0
-591.0 -1061.0
223.0 -1394.0
761.0 -1065.0
484.0 -487.0
1.0 -220.0
337.0 -485.0
1262.0 -858.0
1386.0 -845.0
313.0 -258.0
-812.0 530.0
-741.0 908.0
4.0 780.0
37.0 458.0
-884.0 482.0
-1359.0 670.0
-567.0 551.0
412.0 -165.0
134.0 -885.0
-1200.0 -851.0
-1960.0 -107.0
-1395.0 640.0
-521.0 724.0
-569.0 337.0
-1116.0 -104.0
-1012.0 -355.0
53.0 -393.0
1043.0 -139.0
1072.0 446.0
395.0 1004.0
-180.0 976.0
-248.0 233.0
2.0 -647.0
380.0 -992.0
663.0 -603.0
477.0 50.0
-380.0 551.0
-1158.0 742.0
-1029.0 430.0
-121.0 -339.0
541.0 -1119.0
378.0 -1420.0
82.0 -996.0
442.0 -354.0
1187.0 21.0
1257.0 146.0
414.0 438.0
-427.0 851.0
-707.0 848.0
-857.0 91.0
-1199.0 -950.0
-1101.0 -1534.0
23.0 -1418.0
1199.0 -1075.0
988.0 -919.0
-538.0 -772.0
-1548.0 -384.0
-746.0 36.0
742.0 186.0
1012.0 -54.0
-107.0 -385.0
-987.0 -626.0
-687.0 -928.0
-38.0 -1258.0
-154.0 -1218.0
-749.0 -355.0
-693.0 1002.0
34.0 1979.0
591.0 1889.0
465.0 1054.0
205.0 125.0
284.0 -491.0
363.0 -518.0
10.0 29.0
-437.0 916.0
-282.0 1511.0
290.0 1071.0
479.0 -132.0
20.0 -927.0
-425.0 -629.0
-414.0 198.0
-426.0 599.0
-936.0 424.0
-1429.0 321.0
-939.0 584.0
406.0 729.0
1158.0 353.0
539.0 -178.0
-544.0 -365.0
-673.0 -264.0
229.0 -303.0
911.0 -365.0
572.0 87.0
-105.0 949.0
-118.0 1409.0
491.0 931.0
675.0 35.0
25.0 -490.0
-806.0 -536.0
-1022.0 -666.0
-687.0 -966.0
-509.0 -1016.0
-481.0 -623.0
-232.0 -283.0
430.0 -298.0
1066.0 -256.0
1190.0 169.0
910.0 584.0
524.0 431.0
4.0 54.0
-628.0 269.0
-962.0 1028.0
-517.0 1368.0
498.0 684.0
932.0 -342.0
270.0 -584.0
-599.0 3.0
-677.0 423.0
-46.0 30.0
144.0 -665.0
-444.0 -875.0
-874.0 -514.0
-330.0 -118.0
724.0 -2.0
1021.0 -23.0
186.0 -70.0
-886.0 -211.0
-1302.0 -401.0
-972.0 -366.0
-278.0 -7.0
562.0 385.0
1383.0 415.0
1633.0 30.0
1068.0 -464.0
296.0 -736.0
22.0 -663.0
165.0 -409.0
27.0 -123.0
-652.0 166.0
-1152.0 402.0
-865.0 448.0
-113.0 70.0
298.0 -567.0
134.0 -772.0
-95.0 -54.0
-135.0 1122.0
-142.0 1685.0
-262.0 1216.0
-283.0 424.0
-20.0 65.0
240.0 53.0
116.0 -156.0
-247.0 -532.0
-469.0 -249.0
-363.0 937.0
-118.0 1892.0
10.0 1476.0
-28.0 132.0
-162.0 -615.0
-342.0 -8.0
-208.0 1043.0
339.0 1395.0
834.0 1058.0
776.0 572.0
408.0 11.0
393.0 -902.0
922.0 -1726.0
1059.0 -1586.0
125.0 -90.0
-1173.0 1378.0
-1522.0 1641.0
-850.0 692.0
-171.0 -326.0
-275.0 -664.0
-431.0 -477.0
-96.0 -424.0
325.0 -471.0
-510.0 -301.0
-1724.0 341.0
-2048.0 1181.0
-1064.0 1602.0
874.0 1281.0
1310.0 352.0
471.0 -560.0
-581.0 -886.0
-669.0 -665.0
-50.0 -394.0
732.0 -264.0
1200.0 0.0
1214.0 440.0
685.0 535.0
-210.0 -189.0
-711.0 -1080.0
-556.0 -1028.0
-15.0 46.0
497.0 786.0
822.0 317.0
999.0 -608.0
732.0 -519.0
-46.0 562.0
-767.0 1211.0
-650.0 433.0
116.0 -996.0
346.0 -1715.0
-438.0 -1214.0
-1371.0 -236.0
-1326.0 305.0
-352.0 458.0
599.0 430.0
734.0 280.0
476.0 -145.0
396.0 -538.0
418.0 -522.0
268.0 -166.0
-11.0 155.0
-97.0 30.0
-145.0 -358.0
-286.0 -570.0
-502.0 -307.0
-362.0 301.0
29.0 822.0
184.0 756.0
-196.0 177.0
-695.0 -346.0
-645.0 -354.0
-44.0 114.0
592.0 656.0
737.0 988.0
349.0 1096.0
-184.0 910.0
-266.0 464.0
102.0 41.0
534.0 -66.0
396.0 21.0
-278.0 -139.0
-811.0 -453.0
-635.0 -145.0
-89.0 1027.0
-13.0 2018.0
-393.0 1655.0
-417.0 190.0
275.0 -827.0
990.0 -480.0
877.0 229.0
218.0 -12.0
-79.0 -928.0
324.0 -1209.0
536.0 -543.0
74.0 65.0
-544.0 -351.0
-477.0 -1150.0
77.0 -1097.0
230.0 -151.0
-106.0 777.0
-215.0 1071.0
306.0 902.0
839.0 669.0
860.0 362.0
446.0 -1.0
184.0 -55.0
234.0 259.0
240.0 255.0
-19.0 -394.0
-208.0 -1167.0
-40.0 -1058.0
212.0 -99.0
55.0 683.0
-490.0 602.0
-904.0 -1.0
-854.0 -469.0
-491.0 -708.0
-126.0 -952.0
-22.0 -871.0
-40.0 -151.0
85.0 868.0
315.0 1277.0
334.0 746.0
12.0 -168.0
-431.0 -864.0
-432.0 -1165.0
-4.0 -1210.0
295.0 -849.0
-48.0 -154.0
-771.0 288.0
-875.0 -86.0
246.0 -819.0
1723.0 -922.0
2047.0 -193.0
1805.0 465.0
76.0 204.0
-952.0 -444.0
-873.0 -437.0
-196.0 284.0
46.0 615.0
-524.0 -87.0
-1390.0 -914.0
-1719.0 -880.0
-1270.0 -113.0
-366.0 158.0
377.0 -628.0
669.0 -1451.0
461.0 -1251.0
-122.0 -191.0
-712.0 660.0
-952.0 574.0
-533.0 80.0
236.0 -69.0
669.0 83.0
428.0 9.0
97.0 -394.0
446.0 -562.0
1272.0 -202.0
1380.0 57.0
306.0 -273.0
-860.0 -746.0
-812.0 -388.0
319.0 779.0
1079.0 1628.0
630.0 1264.0
-377.0 135.0
-735.0 -389.0
-206.0 -44.0
424.0 240.0
467.0 -129.0
-58.0 -614.0
-689.0 -251.0
-1047.0 676.0
-874.0 978.0
-141.0 168.0
513.0 -892.0
587.0 -1084.0
99.0 -229.0
-266.0 882.0
-251.0 1686.0
-360.0 1980.0
-1074.0 1531.0
-1902.0 633.0
-1977.0 -168.0
-1989.0 -211.0
-1961.0 282.0
-1993.0 348.0
-1054.0 -164.0
407.0 -539.0
1104.0 -126.0
298.0 489.0
-1091.0 256.0
-1172.0 -773.0
94.0 -1241.0
941.0 -420.0
180.0 729.0
-1157.0 858.0
-1246.0 -33.0
-267.0 -809.0
282.0 -736.0
-285.0 -331.0
-812.0 -221.0
-264.0 -275.0
582.0 -111.0
315.0 119.0
-804.0 -62.0
-1242.0 -467.0
-358.0 -460.0
669.0 148.0
369.0 843.0
-864.0 1053.0
-1545.0 946.0
-940.0 938.0
170.0 1164.0
793.0 1362.0
715.0 1409.0
478.0 1304.0
580.0 802.0
1006.0 -126.0
1371.0 -1124.0
1358.0 -1530.0
842.0 -1062.0
298.0 -207.0
268.0 481.0
815.0 792.0
1319.0 811.0
1194.0 586.0
687.0 160.0
363.0 -82.0
194.0 105.0
-220.0 437.0
-801.0 225.0
-886.0 -671.0
-284.0 -1391.0
183.0 -1174.0
-107.0 -281.0
-580.0 321.0
-334.0 196.0
363.0 -222.0
483.0 -425.0
-248.0 -327.0
-622.0 -192.0
189.0 -144.0
1148.0 -118.0
708.0 -320.0
-910.0 -619.0
-1767.0 -561.0
-909.0 104.0
361.0 792.0
409.0 687.0
-489.0 -69.0
-722.0 -523.0
204.0 -185.0
1061.0 230.0
905.0 -16.0
197.0 -697.0
-118.0 -848.0
-194.0 -377.0
-710.0 -318.0
-1372.0 -1076.0
-1226.0 -1711.0
-136.0 -1166.0
885.0 3.0
1042.0 206.0
706.0 -793.0
584.0 -1604.0
590.0 -1150.0
326.0 -184.0
-60.0 -28.0
-74.0 -670.0
337.0 -905.0
485.0 -317.0
166.0 289.0
-113.0 98.0
53.0 -493.0
235.0 -600.0
-93.0 -184.0
-482.0 53.0
-125.0 -222.0
883.0 -603.0
1401.0 -466.0
796.0 100.0
-440.0 460.0
-1102.0 279.0
-982.0 -316.0
-491.0 -866.0
-138.0 -971.0
-179.0 -400.0
-611.0 461.0
-1258.0 631.0
-1634.0 -45.0
-1323.0 -481.0
-368.0 40.0
786.0 600.0
1170.0 109.0
274.0 -748.0
-964.0 -555.0
-918.0 513.0
431.0 964.0
1251.0 97.0
477.0 -913.0
-784.0 -793.0
-866.0 315.0
252.0 1001.0
1066.0 374.0
544.0 -775.0
-505.0 -928.0
-797.0 148.0
-22.0 1061.0
815.0 530.0
697.0 -711.0
-208.0 -993.0
-810.0 72.0
-299.0 1061.0
685.0 616.0
923.0 -660.0
-26.0 -977.0
-950.0 80.0
-530.0 1021.0
765.0 628.0
1137.0 -608.0
-63.0 -963.0
-1167.0 42.0
-537.0 1006.0
1015.0 637.0
1187.0 -592.0
-331.0 -965.0
-1336.0 76.0
-277.0 1068.0
1279.0 605.0
1023.0 -668.0
-696.0 -987.0
-1291.0 155.0
129.0 1154.0
1408.0 508.0
685.0 -854.0
-971.0 -961.0
-1066.0 421.0
496.0 1281.0
1292.0 273.0
224.0 -1117.0
-1062.0 -789.0
-648.0 822.0
733.0 1280.0
1027.0 -141.0
-137.0 -1288.0
-970.0 -386.0
-302.0 1196.0
801.0 1036.0
724.0 -647.0
-347.0 -1259.0
-821.0 174.0
-52.0 1388.0
753.0 491.0
456.0 -1075.0
-454.0 -862.0
-666.0 744.0
100.0 1228.0
722.0 -170.0
287.0 -1163.0
-546.0 -207.0
-577.0 1125.0
245.0 737.0
726.0 -693.0
126.0 -871.0
-659.0 396.0
-436.0 1050.0
485.0 74.0
679.0 -869.0
-168.0 -315.0
-802.0 781.0
-178.0 659.0
725.0 -415.0
499.0 -650.0
-545.0 256.0
-785.0 789.0
199.0 105.0
841.0 -599.0
103.0 -168.0
-859.0 595.0
-481.0 429.0
690.0 -363.0
738.0 -393.0
-447.0 278.0
-981.0 528.0
12.0 -48.0
943.0 -396.0
286.0 52.0
-912.0 489.0
-703.0 140.0
612.0 -374.0
884.0 -156.0
-375.0 419.0
-1093.0 323.0
-95.0 -292.0
1038.0 -308.0
407.0 317.0
-978.0 493.0
-858.0 -109.0
581.0 -505.0
1022.0 20.0
-291.0 595.0
-1241.0 226.0
-226.0 -517.0
1104.0 -350.0
559.0 512.0
-991.0 614.0
-1021.0 -249.0
548.0 -689.0
1151.0 81.0
-225.0 796.0
-1355.0 223.0
-363.0 -740.0
1174.0 -430.0
698.0 661.0
-1010.0 707.0
-1197.0 -399.0
499.0 -880.0
1322.0 90.0
-90.0 959.0
-1437.0 258.0
-561.0 -898.0
1137.0 -626.0
936.0 639.0
-860.0 923.0
-1382.0 -266.0
193.0 -1067.0
1357.0 -186.0
285.0 994.0
-1344.0 616.0
-922.0 -736.0
823.0 -963.0
1176.0 313.0
-432.0 1064.0
-1445.0 134.0
-305.0 -1015.0
1163.0 -634.0
711.0 682.0
-922.0 924.0
-1192.0 -296.0
237.0 -1075.0
1153.0 -290.0
233.0 887.0
-1085.0 685.0
-858.0 -526.0
527.0 -1001.0
953.0 -42.0
-98.0 937.0
-1028.0 479.0
-532.0 -715.0
596.0 -948.0
767.0 105.0
-183.0 965.0
-920.0 359.0
-437.0 -808.0
546.0 -915.0
715.0 254.0
-173.0 1008.0
-915.0 271.0
-459.0 -959.0
572.0 -908.0
787.0 378.0
-149.0 1082.0
-968.0 168.0
-542.0 -1110.0
640.0 -881.0
872.0 516.0
-144.0 1149.0
-1067.0 57.0
-592.0 -1180.0
704.0 -843.0
997.0 588.0
-149.0 1090.0
-1162.0 -18.0
-596.0 -1154.0
783.0 -754.0
1047.0 564.0
-181.0 1001.0
-1171.0 18.0
-586.0 -1008.0
729.0 -757.0
1023.0 355.0
-89.0 878.0
-1084.0 189.0
-630.0 -791.0
601.0 -847.0
1006.0 65.0
98.0 816.0
-943.0 452.0
-765.0 -565.0
396.0 -1023.0
1036.0 -251.0
353.0 825.0
-778.0 776.0
-918.0 -393.0
116.0 -1194.0
1001.0 -526.0
593.0 794.0
-575.0 999.0
-1019.0 -226.0
-126.0 -1254.0
935.0 -706.0
820.0 684.0
-298.0 1058.0
-1013.0 -5.0
-445.0 -1100.0
681.0 -857.0
984.0 370.0
105.0 987.0
-844.0 346.0
-749.0 -745.0
271.0 -985.0
1042.0 -145.0
615.0 746.0
-522.0 713.0
-1021.0 -173.0
-251.0 -978.0
886.0 -735.0
1022.0 300.0
-37.0 970.0
-1051.0 425.0
-730.0 -747.0
483.0 -1134.0
1152.0 -222.0
452.0 915.0
-675.0 898.0
-933.0 -275.0
-101.0 -1167.0
882.0 -727.0
891.0 477.0
-14.0 1029.0
-812.0 343.0
-695.0 -747.0
261.0 -1011.0
1013.0 -194.0
730.0 746.0
-338.0 862.0
-1036.0 6.0
-485.0 -905.0
720.0 -885.0
1199.0 98.0
354.0 958.0
-819.0 704.0
-994.0 -358.0
29.0 -1075.0
1050.0 -655.0
940.0 489.0
-111.0 1063.0
-908.0 448.0
-661.0 -656.0
296.0 -1050.0
974.0 -339.0
771.0 695.0
-140.0 1017.0
-900.0 257.0
-699.0 -784.0
330.0 -988.0
1148.0 -163.0
806.0 804.0
-367.0 981.0
-1082.0 128.0
-575.0 -842.0
584.0 -949.0
1160.0 -90.0
576.0 854.0
-492.0 948.0
-958.0 97.0
-409.0 -857.0
550.0 -936.0
1013.0 -85.0
626.0 881.0
-333.0 1013.0
-957.0 134.0
-622.0 -851.0
454.0 -974.0
1174.0 -80.0
786.0 890.0
-358.0 1003.0
-1069.0 185.0
-659.0 -747.0
427.0 -919.0
1091.0 -238.0
748.0 666.0
-210.0 1027.0
-885.0 495.0
-762.0 -517.0
70.0 -1058.0
911.0 -556.0
961.0 539.0
174.0 1162.0
-793.0 700.0
-1019.0 -377.0
-210.0 -1017.0
835.0 -653.0
1103.0 302.0
375.0 965.0
-600.0 871.0
-985.0 64.0
-500.0 -751.0
434.0 -941.0
1011.0 -262.0
772.0 748.0
-140.0 1144.0
-914.0 496.0
-874.0 -581.0
-14.0 -1060.0
889.0 -550.0
980.0 474.0
252.0 1048.0
-693.0 773.0
-1031.0 -48.0
-492.0 -780.0
459.0 -889.0
1014.0 -241.0
735.0 706.0
-121.0 1154.0
-916.0 633.0
-929.0 -437.0
-179.0 -1052.0
713.0 -707.0
1036.0 221.0
517.0 949.0
-399.0 959.0
-998.0 315.0
-828.0 -533.0
14.0 -933.0
857.0 -634.0
1001.0 273.0
314.0 1051.0
-612.0 1021.0
-1050.0 165.0
-684.0 -806.0
183.0 -1018.0
868.0 -413.0
887.0 518.0
238.0 1010.0
-665.0 827.0
-1082.0 100.0
-708.0 -690.0
223.0 -983.0
956.0 -504.0
918.0 459.0
155.0 1085.0
-715.0 916.0
-1038.0 39.0
-683.0 -779.0
140.0 -956.0
835.0 -434.0
939.0 369.0
335.0 982.0
-572.0 934.0
-1124.0 270.0
-840.0 -621.0
29.0 -1049.0
775.0 -681.0
951.0 197.0
449.0 932.0
-316.0 1026.0
-928.0 441.0
-1014.0 -359.0
-415.0 -937.0
499.0 -880.0
1042.0 -229.0
784.0 624.0
-69.0 1080.0
-821.0 812.0
-1052.0 -2.0
-673.0 -784.0
44.0 -1018.0
735.0 -578.0
979.0 228.0
543.0 883.0
-366.0 966.0
-1079.0 465.0
-1061.0 -377.0
-356.0 -990.0
471.0 -952.0
916.0 -309.0
767.0 514.0
192.0 990.0
-556.0 858.0
-1077.0 222.0
-968.0 -551.0
-230.0 -1032.0
621.0 -855.0
1000.0 -178.0
715.0 590.0
15.0 1006.0
-664.0 785.0
-1036.0 139.0
-867.0 -624.0
-230.0 -1076.0
592.0 -854.0
1033.0 -139.0
810.0 613.0
27.0 982.0
-720.0 783.0
-1023.0 159.0
-835.0 -605.0
-231.0 -1046.0
496.0 -940.0
977.0 -291.0
896.0 509.0
231.0 963.0
-590.0 834.0
-1056.0 270.0
-949.0 -426.0
-380.0 -953.0
306.0 -1045.0
837.0 -582.0
945.0 220.0
528.0 869.0
-233.0 982.0
-897.0 540.0
-1094.0 -181.0
-685.0 -786.0
-10.0 -1059.0
650.0 -851.0
980.0 -223.0
850.0 516.0
248.0 979.0
-489.0 867.0
-1003.0 292.0
-998.0 -385.0
-512.0 -868.0
181.0 -1043.0
789.0 -765.0
982.0 -89.0
743.0 651.0
140.0 1013.0
-578.0 828.0
-991.0 227.0
-959.0 -461.0
-482.0 -916.0
196.0 -1072.0
818.0 -774.0
1017.0 -109.0
744.0 641.0
161.0 1026.0
-541.0 818.0
-973.0 264.0
-979.0 -364.0
-545.0 -860.0
118.0 -1104.0
726.0 -890.0
1024.0 -256.0
881.0 488.0
354.0 933.0
-301.0 883.0
-832.0 455.0
-995.0 -117.0
-724.0 -717.0
-136.0 -1081.0
546.0 -1047.0
955.0 -519.0
993.0 185.0
645.0 767.0
54.0 940.0
-526.0 752.0
-951.0 322.0
-972.0 -312.0
-575.0 -891.0
46.0 -1153.0
633.0 -934.0
987.0 -374.0
994.0 238.0
662.0 692.0
71.0 954.0
-564.0 855.0
-935.0 365.0
-940.0 -310.0
-605.0 -859.0
-46.0 -1074.0
504.0 -913.0
951.0 -517.0
1086.0 58.0
811.0 623.0
222.0 956.0
-398.0 937.0
-785.0 537.0
-924.0 -37.0
-784.0 -601.0
-345.0 -943.0
244.0 -1026.0
828.0 -801.0
1074.0 -265.0
940.0 334.0
587.0 824.0
95.0 965.0
-440.0 830.0
-888.0 461.0
-1018.0 -114.0
-737.0 -646.0
-216.0 -1005.0
315.0 -1038.0
758.0 -764.0
1042.0 -276.0
1079.0 273.0
717.0 758.0
144.0 1010.0
-455.0 930.0
-818.0 579.0
-922.0 30.0
-817.0 -522.0
-477.0 -919.0
81.0 -1038.0
667.0 -878.0
1019.0 -474.0
1033.0 55.0
827.0 578.0
473.0 951.0
-44.0 1029.0
-573.0 812.0
-949.0 387.0
-982.0 -156.0
-704.0 -616.0
-283.0 -927.0
170.0 -1009.0
660.0 -821.0
1046.0 -391.0
1119.0 129.0
870.0 578.0
439.0 915.0
-49.0 1059.0
-453.0 897.0
-824.0 541.0
-1021.0 40.0
-878.0 -467.0
-520.0 -781.0
-3.0 -976.0
426.0 -933.0
814.0 -679.0
1056.0 -188.0
1071.0 351.0
775.0 743.0
325.0 963.0
-127.0 1035.0
-534.0 908.0
-859.0 563.0
-1023.0 59.0
-925.0 -421.0
-580.0 -754.0
-109.0 -933.0
337.0 -952.0
714.0 -754.0
980.0 -350.0
1054.0 164.0
892.0 598.0
550.0 878.0
89.0 1030.0
-328.0 1045.0
-699.0 814.0
-951.0 380.0
-1018.0 -82.0
-867.0 -477.0
-550.0 -748.0
-136.0 -945.0
306.0 -991.0
676.0 -794.0
936.0 -400.0
1020.0 65.0
917.0 425.0
675.0 750.0
321.0 1000.0
-88.0 1102.0
-523.0 940.0
-823.0 596.0
-990.0 239.0
-1017.0 -98.0
-820.0 -484.0
-501.0 -859.0
-120.0 -1025.0
261.0 -929.0
603.0 -724.0
894.0 -471.0
1021.0 -150.0
978.0 273.0
749.0 695.0
485.0 964.0
138.0 1034.0
-253.0 1019.0
-636.0 897.0
-901.0 660.0
-1010.0 288.0
-971.0 -146.0
-887.0 -496.0
-665.0 -732.0
-287.0 -928.0
91.0 -1009.0
459.0 -926.0
708.0 -648.0
904.0 -349.0
1016.0 -11.0
954.0 348.0
733.0 655.0
442.0 934.0
86.0 1039.0
-219.0 1019.0
-539.0 922.0
-842.0 748.0
-1039.0 466.0
-1058.0 86.0
-973.0 -274.0
-875.0 -543.0
-699.0 -790.0
-386.0 -934.0
12.0 -1010.0
308.0 -939.0
558.0 -787.0
758.0 -552.0
958.0 -251.0
1021.0 31.0
865.0 350.0
690.0 646.0
497.0 876.0
248.0 987.0
-104.0 1053.0
-477.0 979.0
-715.0 822.0
-883.0 613.0
-1003.0 348.0
-1114.0 71.0
-1098.0 -230.0
-892.0 -532.0
-662.0 -752.0
-437.0 -937.0
-222.0 -1024.0
88.0 -996.0
444.0 -931.0
661.0 -784.0
789.0 -587.0
913.0 -327.0
967.0 -51.0
995.0 247.0
835.0 493.0
600.0 684.0
426.0 846.0
232.0 979.0
-44.0 995.0
-335.0 958.0
-582.0 851.0
-747.0 723.0
-888.0 541.0
-1061.0 293.0
-1110.0 62.0
-1043.0 -174.0
-952.0 -396.0
-843.0 -626.0
-689.0 -832.0
-484.0 -947.0
-210.0 -998.0
25.0 -1023.0
211.0 -1047.0
409.0 -957.0
646.0 -823.0
847.0 -609.0
920.0 -444.0
929.0 -264.0
974.0 -12.0
960.0 238.0
898.0 436.0
755.0 568.0
576.0 716.0
437.0 866.0
255.0 952.0
70.0 966.0
-149.0 939.0
-339.0 918.0
-506.0 914.0
-676.0 779.0
-835.0 560.0
-957.0 415.0
-980.0 285.0
-1009.0 108.0
-1036.0 -150.0
-1015.0 -364.0
-945.0 -485.0
-822.0 -610.0
-708.0 -764.0
-599.0 -936.0
-444.0 -1010.0
-276.0 -1005.0
-97.0 -1050.0
59.0 -1079.0
242.0 -1094.0
396.0 -990.0
541.0 -882.0
649.0 -835.0
769.0 -773.0
861.0 -623.0
930.0 -440.0
982.0 -279.0
1006.0 -189.0
